Corner,VDD,VSS,cap_scs,mos_scs,res_scs,DCGain,GBW,PM,Zin_val,Zout_val,ICMR_Max,ICMR_Min,Out_Swing_Max,Out_Swing_Min,PSRR_VDD_1MHz,PSRR_VSS_1MHz,Vout_Sin_Max,Vout_Sin_Min,Iout_Sin_Max,Iout_Sin_Min
PV_114,2.25,-2.75,tm,wz,tm,30.15,6631000,77.24,8180000,3.931,1.898,-2.431,2.083,-2.431,1.459e-05,0.0001339,1.478,-1.514,0.03027,-0.02956
PV_115,2.5,-2.75,tm,wz,tm,27.08,5227000,82.11,7553000,3.658,2.114,-2.479,2.321,-2.479,1.86e-05,0.0001715,1.479,-1.514,0.03029,-0.02959
PV_116,2.75,-2.75,tm,wz,tm,25.41,4680000,85,7123000,3.423,2.321,-2.51,2.559,-2.51,2.079e-05,0.0001923,pending,pending,pending,pending
PV_117,2.25,-2.25,wp,wz,tm,30.7,5774000,75.87,9524000,4.635,1.929,-1.927,2.105,-1.927,2.294e-05,0.0001531,1.48,-1.486,0.02973,-0.0296
PV_118,2.5,-2.25,wp,wz,tm,27.08,4346000,81.6,8665000,4.248,2.147,-1.989,2.344,-1.989,3.031e-05,0.0002034,1.481,-1.491,0.02982,-0.02963
PV_119,2.75,-2.25,wp,wz,tm,24.81,3739000,85.31,8054000,3.926,2.355,-2.025,2.583,-2.025,3.558e-05,0.0002395,1.482,-1.494,0.02988,-0.02964
PV_120,2.25,-2.5,wp,wz,tm,30.52,6249000,76.37,8805000,4.252,1.914,-2.179,2.094,-2.179,1.82e-05,0.000141,1.479,-1.514,0.03027,-0.02958
PV_121,2.5,-2.5,wp,wz,tm,27.09,4815000,81.87,8059000,3.929,2.131,-2.233,2.333,-2.233,2.383e-05,0.0001856,1.48,-1.514,0.03029,-0.02961
PV_122,2.75,-2.5,wp,wz,tm,25.11,4206000,85.05,7545000,3.655,2.339,-2.267,2.572,-2.267,2.736e-05,0.0002137,1.481,-1.515,0.0303,-0.02962
PV_123,2.25,-2.75,wp,wz,tm,30.15,6640000,77.24,8173000,3.932,1.898,-2.431,2.083,-2.431,1.462e-05,0.0001338,1.478,-1.514,0.03027,-0.02956
PV_124,2.5,-2.75,wp,wz,tm,27.08,5233000,82.1,7546000,3.658,2.114,-2.479,2.321,-2.479,1.864e-05,0.0001714,1.479,-1.514,0.03029,-0.02959
PV_125,2.75,-2.75,wp,wz,tm,25.41,4684000,85,7117000,3.423,2.321,-2.51,2.559,-2.51,2.083e-05,0.0001922,pending,pending,pending,pending
PV_126,2.25,-2.25,ws,wz,tm,30.7,5759000,75.89,9541000,4.634,1.929,-1.927,2.105,-1.927,2.287e-05,0.0001534,1.48,-1.486,0.02972,-0.0296
PV_127,2.5,-2.25,ws,wz,tm,27.08,4335000,81.61,8679000,4.247,2.147,-1.989,2.344,-1.989,3.022e-05,0.0002037,1.481,-1.491,0.02981,-0.02963
PV_128,2.75,-2.25,ws,wz,tm,24.81,3731000,85.33,8067000,3.925,2.355,-2.025,2.583,-2.025,3.546e-05,0.0002399,1.482,-1.494,0.02988,-0.02964
PV_129,2.25,-2.5,ws,wz,tm,30.52,6234000,76.4,8821000,4.251,1.914,-2.179,2.094,-2.179,1.814e-05,0.0001412,1.479,-1.514,0.03027,-0.02958
PV_130,2.5,-2.5,ws,wz,tm,27.09,4804000,81.89,8073000,3.928,2.131,-2.233,2.333,-2.233,2.375e-05,0.0001858,1.48,-1.514,0.03029,-0.02961
PV_131,2.75,-2.5,ws,wz,tm,25.11,4198000,85.06,7557000,3.654,2.339,-2.267,2.572,-2.267,2.726e-05,0.000214,1.481,-1.515,0.0303,-0.02962
PV_132,2.25,-2.75,ws,wz,tm,30.15,6622000,77.25,8188000,3.931,1.898,-2.431,2.083,-2.431,1.457e-05,0.000134,1.478,-1.514,0.03027,-0.02956
PV_133,2.5,-2.75,ws,wz,tm,27.08,5221000,82.12,7559000,3.657,2.114,-2.479,2.321,-2.479,1.856e-05,0.0001716,1.479,-1.514,0.03029,-0.02959
PV_134,2.75,-2.75,ws,wz,tm,25.41,4675000,85.01,7129000,3.422,2.321,-2.51,2.559,-2.51,2.074e-05,0.0001924,pending,pending,pending,pending
PV_135,2.25,-2.25,tm,tm,wp,33.54,6758000,71.57,10530000,4.943,1.89,-1.841,2.096,-1.841,3.229e-05,0.0001259,1.479,-1.495,0.0299,-0.02958
PV_136,2.5,-2.25,tm,tm,wp,30.89,5715000,76.58,9687000,4.517,2.105,-1.943,2.335,-1.943,3.811e-05,0.000151,1.481,-1.5,0.03,-0.02962
PV_137,2.75,-2.25,tm,tm,wp,27.49,4367000,81.77,8883000,4.164,2.313,-1.996,2.573,-1.996,4.96e-05,0.0001992,1.481,-1.503,0.03006,-0.02963
PV_138,2.25,-2.5,tm,tm,wp,33.9,7746000,71.76,9855000,4.522,1.875,-2.101,2.085,-2.101,2.494e-05,0.0001101,1.478,-1.513,0.03027,-0.02956
PV_139,2.5,-2.5,tm,tm,wp,30.8,6199000,76.79,9029000,4.167,2.089,-2.19,2.323,-2.19,3.096e-05,0.0001388,1.48,-1.514,0.03028,-0.0296
PV_140,2.75,-2.5,tm,tm,wp,27.63,4851000,81.81,8325000,3.869,2.297,-2.238,2.561,-2.238,3.97e-05,0.0001805,1.48,-1.515,0.0303,-0.02961
PV_141,2.25,-2.75,tm,tm,wp,33.97,8525000,72.47,9237000,4.171,1.858,-2.361,2.072,-2.361,1.943e-05,9.983e-05,1.477,-1.513,0.03027,-0.02954
