Corner,VDD,VSS,cap_scs,mos_scs,res_scs,temperature,DCGain,GBW,PM,Zin_val,Zout_val,ICMR_Max,ICMR_Min,Out_Swing_Max,Out_Swing_Min,PSRR_VDD_1MHz,PSRR_VSS_1MHz,Vout_Sin_Max,Vout_Sin_Min,Iout_Sin_Max,Iout_Sin_Min
PVT_217,2.25,-2.25,ws,ws,tm,-25,35.15,7399000,68.05,10260000,4.729,1.91,-1.724,2.108,-1.724,4.007e-05,0.0001095,1.481,-1.459,0.02919,-0.02962
PVT_218,2.25,-2.25,ws,ws,tm,85,31.85,4351000,71.82,12360000,6.677,1.867,-1.539,2.076,-1.539,7.61e-05,0.000172,1.475,-1.438,0.02876,-0.0295
PVT_219,2.5,-2.25,ws,ws,tm,25,33.48,6100000,71.12,10790000,5.13,2.104,-1.804,2.331,-1.804,5.247e-05,0.0001302,1.48,-1.478,0.02956,-0.02961
PVT_220,2.5,-2.25,ws,ws,tm,-25,34.67,7736000,70.08,9638000,4.284,2.127,-1.886,2.347,-1.886,3.843e-05,0.0001065,1.483,-1.47,0.0294,-0.02965
PVT_221,2.5,-2.25,ws,ws,tm,85,32.17,4841000,71.91,11860000,6.101,2.081,-1.707,2.314,-1.707,6.8e-05,0.000157,1.478,-1.476,0.02951,-0.02955
PVT_222,2.75,-2.25,ws,ws,tm,25,31.68,5638000,74.86,10050000,4.708,2.312,-1.916,2.568,-1.916,5.694e-05,0.0001449,1.481,-1.486,0.02972,-0.02962
PVT_223,2.75,-2.25,ws,ws,tm,-25,31.78,6415000,74.97,8769000,3.92,2.337,-1.978,2.585,-1.978,4.627e-05,0.0001316,1.483,-1.476,0.02951,-0.02966
PVT_224,2.75,-2.25,ws,ws,tm,85,31.36,4836000,74.33,11270000,5.62,2.288,-1.837,2.551,-1.837,6.74e-05,0.0001597,1.479,-1.489,0.02978,-0.02958
PVT_225,2.25,-2.5,ws,ws,tm,25,34.3,6734000,69.32,10680000,5.135,1.875,-1.89,2.081,-1.89,4.617e-05,0.0001163,pending,pending,pending,pending
PVT_226,2.25,-2.5,ws,ws,tm,-25,35.88,8846000,68.08,9589000,4.289,1.896,-1.993,2.097,-1.993,3.14e-05,9.212e-05,1.48,-1.513,0.03025,-0.0296
