Corner,cap_scs,mos_scs,res_scs,DC_Gain_dB,BW_3dB,PM,Zin_1MHz,Zout_1MHz,DC_Gain_Abs,DC_Bias_Output,In_Ref_Noise,PSRR_P,PSRR_N,HD2,HD3,Iout_p2p,Gm,Iout_Sin_Max,Iout_Sin_Min,SR_Pos,SR_Neg,VDD,VSS
PV_mid_138,wp,tm,tm,21.93,14820000,39.3,3405000,1.04,12.49,0.05126,3.72e-08,6.354e-05,6.878e-05,-36.61,-39.7,0.04514,0.2257,0.02258,-0.02256,10030000,-12260000,2.5,-2.25
PV_mid_139,wp,tm,tm,21.45,13170000,40.5,3413000,1.234,11.81,-0.1432,3.612e-08,6.709e-05,7.398e-05,-41.17,-40.24,0.0428,0.214,0.01817,-0.02464,5303000,-7227000,2.25,-2.25
PV_mid_140,wp,tm,tm,21.86,16610000,39.11,3399000,0.8947,12.38,0.2393,3.88e-08,6.409e-05,6.843e-05,-33.86,-40.9,0.04518,0.2259,0.02586,-0.01932,14020000,-15390000,2.75,-2.25
PV_mid_141,wp,tm,tm,22.54,17430000,33.59,3456000,0.7957,13.4,-0.3695,3.707e-08,6.137e-05,6.421e-05,-40.37,-39.7,0.04866,0.2433,0.01632,-0.03235,10490000,-14300000,2.5,-2.75
PV_mid_142,wp,tm,tm,22.37,15330000,34.68,3457000,0.9154,13.14,-0.5714,3.549e-08,6.265e-05,6.679e-05,-45.49,-39.26,0.04745,0.2373,0.01231,-0.03514,5692000,-8512000,2.25,-2.75
PV_mid_143,wp,tm,tm,22.38,19310000,32.54,3460000,0.702,13.15,-0.1763,3.883e-08,6.27e-05,6.471e-05,-36.22,-40.97,0.048,0.24,0.01932,-0.02868,14500000,-17650000,2.75,-2.75
PV_mid_144,wp,tm,wp,22.27,15960000,36.52,3433000,0.904,12.98,-0.1572,3.711e-08,6.248e-05,6.625e-05,-38.39,-39.73,0.04704,0.2352,0.01957,-0.02748,10370000,-13480000,2.5,-2.5
PV_mid_145,wp,tm,wp,21.96,14270000,36.87,3437000,1.055,12.53,-0.356,3.575e-08,6.475e-05,6.995e-05,-43.45,-39.68,0.04529,0.2264,0.01535,-0.02994,5523000,-7913000,2.25,-2.5
PV_mid_146,wp,tm,wp,22.12,18040000,35.79,3433000,0.7881,12.77,0.03426,3.881e-08,6.347e-05,6.639e-05,-35.03,-41,0.04671,0.2335,0.02271,-0.02399,14490000,-16730000,2.75,-2.5
PV_mid_147,wp,tm,wp,21.93,14820000,39.3,3405000,1.04,12.49,0.05126,3.72e-08,6.354e-05,6.878e-05,-36.61,-39.7,0.04514,0.2257,0.02258,-0.02256,10030000,-12260000,2.5,-2.25
PV_mid_148,wp,tm,wp,21.45,13170000,40.5,3413000,1.234,11.81,-0.1432,3.612e-08,6.709e-05,7.398e-05,-41.17,-40.24,0.0428,0.214,0.01817,-0.02464,5303000,-7227000,2.25,-2.25
PV_mid_149,wp,tm,wp,21.86,16610000,39.11,3399000,0.8947,12.38,0.2393,3.88e-08,6.409e-05,6.843e-05,-33.86,-40.9,0.04518,0.2259,0.02586,-0.01932,14020000,-15390000,2.75,-2.25
PV_mid_150,wp,tm,wp,22.54,17430000,33.59,3456000,0.7957,13.4,-0.3695,3.707e-08,6.137e-05,6.421e-05,-40.37,-39.7,0.04866,0.2433,0.01632,-0.03235,10490000,-14300000,2.5,-2.75
PV_mid_151,wp,tm,wp,22.37,15330000,34.68,3457000,0.9154,13.14,-0.5714,3.549e-08,6.265e-05,6.679e-05,-45.49,-39.26,0.04745,0.2373,0.01231,-0.03514,5692000,-8512000,2.25,-2.75
PV_mid_152,wp,tm,wp,22.38,19310000,32.54,3460000,0.702,13.15,-0.1763,3.883e-08,6.27e-05,6.471e-05,-36.22,-40.97,0.048,0.24,0.01932,-0.02868,14500000,-17650000,2.75,-2.75
PV_mid_153,wp,tm,ws,22.27,15960000,36.52,3433000,0.904,12.98,-0.1572,3.711e-08,6.248e-05,6.625e-05,-38.39,-39.73,0.04704,0.2352,0.01957,-0.02748,10370000,-13480000,2.5,-2.5
PV_mid_154,wp,tm,ws,21.96,14270000,36.87,3437000,1.055,12.53,-0.356,3.575e-08,6.475e-05,6.995e-05,-43.45,-39.68,0.04529,0.2264,0.01535,-0.02994,5523000,-7913000,2.25,-2.5
PV_mid_155,wp,tm,ws,22.12,18040000,35.79,3433000,0.7881,12.77,0.03426,3.881e-08,6.347e-05,6.639e-05,-35.03,-41,0.04671,0.2335,0.02271,-0.02399,14490000,-16730000,2.75,-2.5
PV_mid_156,wp,tm,ws,21.93,14820000,39.3,3405000,1.04,12.49,0.05126,3.72e-08,6.354e-05,6.878e-05,-36.61,-39.7,0.04514,0.2257,0.02258,-0.02256,10030000,-12260000,2.5,-2.25
PV_mid_157,wp,tm,ws,21.45,13170000,40.5,3413000,1.234,11.81,-0.1432,3.612e-08,6.709e-05,7.398e-05,-41.17,-40.24,0.0428,0.214,0.01817,-0.02464,5303000,-7227000,2.25,-2.25
PV_mid_158,wp,tm,ws,21.86,16610000,39.11,3399000,0.8947,12.38,0.2393,3.88e-08,6.409e-05,6.843e-05,-33.86,-40.9,0.04518,0.2259,0.02586,-0.01932,14020000,-15390000,2.75,-2.25
PV_mid_159,wp,tm,ws,22.54,17430000,33.59,3456000,0.7957,13.4,-0.3695,3.707e-08,6.137e-05,6.421e-05,-40.37,-39.7,0.04866,0.2433,0.01632,-0.03235,10490000,-14300000,2.5,-2.75
PV_mid_160,wp,tm,ws,22.37,15330000,34.68,3457000,0.9154,13.14,-0.5714,3.549e-08,6.265e-05,6.679e-05,-45.49,-39.26,0.04745,0.2373,0.01231,-0.03514,5692000,-8512000,2.25,-2.75
PV_mid_161,wp,tm,ws,22.38,19310000,32.54,3460000,0.702,13.15,-0.1763,3.883e-08,6.27e-05,6.471e-05,-36.22,-40.97,0.048,0.24,0.01932,-0.02868,14500000,-17650000,2.75,-2.75
PV_mid_162,wp,wp,tm,21.82,19790000,34.64,3523000,0.7045,12.34,-0.1321,3.737e-08,6.919e-05,6.94e-05,-38.44,-40.38,0.0447,0.2235,0.01882,-0.02588,9741000,-14170000,2.5,-2.5
PV_mid_163,wp,wp,tm,20.99,17650000,39.18,3531000,0.8124,11.21,-0.3415,3.725e-08,7.59e-05,7.753e-05,-46.78,-42.53,0.04116,0.2058,0.0135,-0.02766,5553000,-8368000,2.25,-2.5
PV_mid_164,wp,wp,tm,21.93,21650000,35.24,3519000,0.6205,12.49,0.06826,3.85e-08,6.841e-05,6.785e-05,-34.52,-41.04,0.04547,0.2274,0.02265,-0.02282,13790000,-19340000,2.75,-2.5
PV_mid_165,wp,wp,tm,21.38,18330000,38.93,3493000,0.8022,11.73,0.07457,3.763e-08,7.109e-05,7.269e-05,-37.01,-40.6,0.04259,0.213,0.02174,-0.02086,9910000,-13770000,2.5,-2.25
PV_mid_166,wp,wp,tm,20.38,15950000,42.51,3507000,0.9386,10.44,-0.1304,3.803e-08,7.986e-05,8.316e-05,-44.02,-43.64,0.03849,0.1925,0.01624,-0.02225,5437000,-8151000,2.25,-2.25
PV_mid_167,wp,wp,tm,21.61,20300000,37.17,3483000,0.6978,12.04,0.2717,3.857e-08,6.951e-05,7.027e-05,-33.56,-41.04,0.04379,0.219,0.02571,-0.01808,14230000,-18020000,2.75,-2.25
